ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4647776,HM172874,02/09/2006 10:29:07 PM,075XX S COLFAX AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0421,004,7,43,19,1194833,1855572,2006,04/15/2016 08:55:02 AM,41.758607126,-87.561510616,"(41.758607126, -87.561510616)"
4649196,HM157167,02/01/2006 12:30:27 PM,038XX W FERDINAND ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,27,23,19,1150871,1903067,2006,04/15/2016 08:55:02 AM,41.889909247,-87.721389051,"(41.889909247, -87.721389051)"
4649661,HM159623,02/02/2006 07:02:12 PM,050XX W SUPERIOR ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,28,25,19,1142605,1904502,2006,04/15/2016 08:55:02 AM,41.89400481,-87.751710086,"(41.89400481, -87.751710086)"
4650448,HM158020,02/01/2006 08:13:00 PM,056XX W WASHINGTON BLVD,1661,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,true,false,1512,015,29,25,19,1138430,1900175,2006,04/15/2016 08:55:02 AM,41.882207608,-87.767148598,"(41.882207608, -87.767148598)"
4650940,HM156984,02/01/2006 10:10:00 AM,015XX W 72ND ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0734,007,17,67,19,1167231,1856980,2006,04/15/2016 08:55:02 AM,41.763105901,-87.66262925,"(41.763105901, -87.66262925)"
4651151,HM161364,02/03/2006 04:40:00 PM,001XX N LATROBE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1523,015,28,25,19,1141360,1900477,2006,04/15/2016 08:55:02 AM,41.882982785,-87.756382024,"(41.882982785, -87.756382024)"
4656683,HM161437,02/03/2006 04:30:00 PM,002XX W ALEXANDER ST,1651,GAMBLING,GAME/CARDS,OTHER,true,false,2111,009,25,34,19,1174969,1889230,2006,04/15/2016 08:55:02 AM,41.851433926,-87.633305383,"(41.851433926, -87.633305383)"
4656759,HM161911,02/03/2006 08:00:00 PM,044XX N MILWAUKEE AVE,1680,GAMBLING,OTHER,ALLEY,true,false,1623,016,45,15,19,1141580,1928940,2006,04/15/2016 08:55:02 AM,41.961084206,-87.754869118,"(41.961084206, -87.754869118)"
4657274,HM159750,02/02/2006 07:30:00 PM,084XX S PULASKI RD,1680,GAMBLING,OTHER,OTHER,true,false,0834,008,18,70,19,1151210,1848126,2006,04/15/2016 08:55:02 AM,41.739136801,-87.721580463,"(41.739136801, -87.721580463)"
4657315,HM159804,02/02/2006 06:50:00 PM,049XX W FOSTER AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,true,false,1623,016,45,12,19,1142277,1934118,2006,04/15/2016 08:55:02 AM,41.975280123,-87.752177413,"(41.975280123, -87.752177413)"
4660220,HM259820,03/29/2006 03:35:00 PM,016XX N LECLAIRE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,2533,025,37,25,19,1142298,1910593,2006,04/15/2016 08:55:02 AM,41.910724913,-87.752686197,"(41.910724913, -87.752686197)"
4662776,HM168656,02/07/2006 05:20:00 PM,002XX E 61ST ST,1630,GAMBLING,WIREROOM/HORSES,STREET,true,false,0311,003,20,40,19,1178800,1864618,2006,04/15/2016 08:55:02 AM,41.783810008,-87.61999476,"(41.783810008, -87.61999476)"
4663539,HM166553,02/06/2006 03:18:40 PM,095XX S PRINCETON AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0511,005,21,49,19,1175958,1841741,2006,04/15/2016 08:55:02 AM,41.721096996,-87.631099091,"(41.721096996, -87.631099091)"
4663794,HM263708,03/31/2006 01:00:00 PM,059XX W NORTH AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,2531,025,29,25,19,1136288,1910021,2006,04/15/2016 08:55:02 AM,41.909264799,-87.774778781,"(41.909264799, -87.774778781)"
4667660,HM172239,02/09/2006 03:45:24 PM,119XX S INDIANA AVE,1661,GAMBLING,GAME/DICE,RESIDENCE,true,false,0532,005,9,53,19,1179716,1826020,2006,04/15/2016 08:55:02 AM,41.677871461,-87.617812794,"(41.677871461, -87.617812794)"
4668207,HM146972,01/26/2006 10:05:00 PM,034XX W BELMONT AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,RESTAURANT,true,false,1412,014,35,21,19,1153042,1921070,2006,04/15/2016 08:55:02 AM,41.939268304,-87.712937877,"(41.939268304, -87.712937877)"
4669202,HM168718,02/07/2006 05:50:00 PM,050XX W ARMITAGE AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,RESTAURANT,true,false,2522,025,31,19,19,1142305,1912825,2006,04/15/2016 08:55:02 AM,41.916849633,-87.752604962,"(41.916849633, -87.752604962)"
4669446,HM170157,02/08/2006 02:15:00 PM,004XX E 63RD ST,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0312,003,20,42,19,1180239,1863334,2006,04/15/2016 08:55:02 AM,41.780253707,-87.61475825,"(41.780253707, -87.61475825)"
4669852,HM174694,02/10/2006 08:40:00 PM,068XX W IRVING PARK RD,1670,GAMBLING,GAME/AMUSEMENT DEVICE,RESTAURANT,true,false,1632,016,38,17,19,1129855,1925824,2006,04/15/2016 08:55:02 AM,41.952742671,-87.798048765,"(41.952742671, -87.798048765)"
4669874,HM175392,02/11/2006 07:30:00 AM,061XX S DR MARTIN LUTHER KING JR DR,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0311,003,20,40,19,1179972,1864490,2006,04/15/2016 08:55:02 AM,41.783432002,-87.615701737,"(41.783432002, -87.615701737)"
4669934,HM180514,02/14/2006 11:25:00 AM,023XX S WENTWORTH AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,SMALL RETAIL STORE,true,false,2111,009,25,34,19,1175345,1888637,2006,04/15/2016 08:55:02 AM,41.84979827,-87.631943164,"(41.84979827, -87.631943164)"
4670791,HL780947,12/09/2005 08:55:00 PM,031XX W LAWRENCE AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,true,false,1713,017,33,14,19,1154644,1931723,2005,04/15/2016 08:55:02 AM,41.968468875,-87.706763807,"(41.968468875, -87.706763807)"
4671669,HM184475,02/16/2006 12:51:59 PM,103XX S ELIZABETH ST,1661,GAMBLING,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",true,false,2232,022,21,73,19,1169846,1836216,2006,04/15/2016 08:55:02 AM,41.706070186,-87.653645803,"(41.706070186, -87.653645803)"
4786596,HL655523,10/05/2005 05:32:26 PM,003XX E 29TH ST,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,2112,002,2,35,19,,,2005,08/17/2015 03:03:40 PM,,,
4786593,HL645291,09/30/2005 05:57:52 PM,003XX E 29TH ST,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,2112,002,4,35,19,,,2005,08/17/2015 03:03:40 PM,,,
4675582,HM199572,02/24/2006 09:10:00 PM,031XX W LAWRENCE AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,true,false,1713,017,33,14,19,1154644,1931723,2006,04/15/2016 08:55:02 AM,41.968468875,-87.706763807,"(41.968468875, -87.706763807)"
4684365,HM243673,03/20/2006 09:38:00 PM,001XX E 70TH ST,1661,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,true,false,0322,003,6,69,19,1178591,1858641,2006,04/15/2016 08:55:02 AM,41.767413258,-87.620942554,"(41.767413258, -87.620942554)"
