id,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,18,0,1,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11
1,1,17,0,1,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11
2,1,15,0,0,1,1,1,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12
3,1,15,0,1,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
4,1,16,0,1,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13
5,0,16,0,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13
6,0,16,0,0,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13
7,1,17,0,1,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13
8,0,15,0,0,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17
9,0,15,0,1,1,3,4,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13
10,1,15,0,1,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14
11,1,15,0,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13
12,0,15,0,0,1,4,4,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12
13,0,15,0,1,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13
14,0,15,0,1,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15
15,1,16,0,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17
16,1,16,0,1,1,4,4,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14
17,1,16,0,1,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14
18,0,17,0,1,1,3,2,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7
19,0,16,0,0,1,4,3,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12,12,12
20,0,15,0,1,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14
21,0,15,0,1,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12
22,0,16,0,0,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14
23,0,16,0,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10
24,1,15,1,1,1,2,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10
25,1,16,0,1,1,2,2,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12
26,0,15,0,1,1,2,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12
27,0,15,0,1,1,4,2,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11,11,11
28,0,16,0,0,0,3,4,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13
29,0,16,0,1,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12
30,0,15,0,1,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11
31,0,15,0,1,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15
32,0,15,1,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15
33,0,15,0,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,13,12,12
34,0,16,0,1,1,3,2,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12,12,12
35,1,15,0,1,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11
36,0,15,0,0,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,0,14,14,14
37,0,16,1,1,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13
38,1,15,1,1,1,3,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,11,12,12
39,1,15,1,1,1,2,2,1,1,0,1,1,0,1,1,1,0,0,4,3,1,1,1,2,8,14,13,12
40,1,16,0,0,1,2,2,2,2,0,0,1,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,10
41,0,15,0,0,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,10,11,11
42,0,15,0,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,0,14,15,15
43,0,15,0,1,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9,10,10
44,1,16,0,0,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,11,11
45,1,15,0,0,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,11
46,1,16,0,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,6,13,12,13
47,0,16,0,1,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17,17,17
48,0,15,0,1,1,4,2,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,11,12,13
49,1,15,0,1,1,4,4,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12
50,1,16,0,0,1,2,2,3,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,4,0,14,13,13
51,1,15,0,0,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,3,3,1,1,5,0,16,14,16
52,0,15,0,0,0,4,2,2,1,0,0,0,0,0,1,1,0,0,5,5,5,3,4,5,4,10,9,9
53,1,15,0,1,1,4,4,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12
54,1,15,0,0,0,3,3,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13
55,1,16,0,1,0,2,1,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12
56,1,15,0,1,0,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15
57,0,15,0,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16
58,0,15,0,0,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14
59,1,16,0,1,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16
60,1,16,1,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16
61,1,16,0,1,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16
62,1,16,0,0,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10
63,1,16,0,1,1,4,3,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13
64,1,15,0,0,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12
65,1,16,0,0,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16
66,0,15,0,1,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12,12
67,1,16,0,1,1,3,1,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9,10
68,1,15,1,0,1,2,2,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10,11
69,1,15,1,0,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15,15
70,0,16,0,1,1,3,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,13,11,11
71,0,15,0,1,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,11,9,10
72,1,15,1,1,1,1,1,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11
73,0,16,0,1,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13,13,14
74,1,16,0,1,1,3,3,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11
